0 (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)
1 (0, 1, 2, 5, 4, 3, 6, 7, 8, 11, 10, 9)
2 (0, 11, 10, 3, 2, 1, 6, 5, 4, 9, 8, 7)
3 (0, 11, 9, 10, 8, 7, 6, 5, 3, 4, 2, 1)
4 (0, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11, 1)
5 (0, 1, 3, 8, 10, 11, 6, 7, 9, 2, 4, 5)
6 (0, 10, 9, 2, 1, 11, 6, 4, 3, 8, 7, 5)
7 (0, 1, 4, 5, 8, 9, 10, 11, 2, 3, 6, 7)
8 (0, 11, 8, 9, 10, 1, 2, 5, 6, 7, 4, 3)
9 (0, 1, 4, 7, 10, 11, 2, 3, 6, 9, 8, 5)
10 (0, 3, 4, 7, 8, 11, 2, 5, 6, 9, 10, 1)
11 (0, 1, 4, 9, 8, 5, 10, 11, 2, 7, 6, 3)
12 (0, 1, 4, 9, 8, 5, 10, 7, 6, 11, 2, 3)
13 (0, 3, 4, 9, 10, 1, 6, 5, 2, 7, 8, 11)
14 (0, 9, 8, 1, 4, 5, 10, 11, 2, 7, 6, 3)
15 (0, 1, 5, 6, 7, 11, 10, 2, 3, 4, 8, 9)
16 (0, 11, 7, 8, 4, 3, 2, 1, 9, 10, 6, 5)
17 (0, 1, 5, 7, 3, 2, 4, 8, 9, 11, 10, 6)
18 (0, 11, 7, 9, 8, 4, 6, 5, 1, 3, 2, 10)
19 (0, 1, 5, 8, 4, 3, 6, 7, 11, 2, 10, 9)
20 (0, 11, 7, 10, 9, 5, 8, 4, 3, 6, 2, 1)
21 (0, 4, 5, 8, 7, 3, 6, 10, 11, 2, 1, 9)
22 (0, 4, 5, 8, 9, 1, 10, 2, 3, 6, 7, 11)
23 (0, 1, 5, 9, 10, 2, 6, 7, 11, 3, 4, 8)
24 (0, 4, 5, 10, 2, 3, 8, 9, 1, 6, 7, 11)
25 (0, 11, 5, 6, 7, 1, 2, 8, 9, 10, 4, 3)
26 (0, 1, 7, 10, 4, 3, 6, 5, 11, 2, 8, 9)
